ID,FirstAuthor,Stage,PercentShared
ASAP-000463-004-0000DA-G,Alexia Kalogeropulou,FS,0
ASAP-000463-004-0000DA-P,Alexia Kalogeropulou,NS,0
ASAP-000580-008-0000PD-G,Xinbo Wang,FS,0
ASAP-000580-008-0000PD-P,Xinbo Wang,NS,0
ASAP-000350-008-0000HU-P,Oliva Harding,FS,0
ASAP-000350-008-0000HU-Pv2G,Oliva Harding,NS,0
ASAP-020600-001-0000RA-G,Maite Azcorra,FS,0
ASAP-020600-001-0000RA-P,Maite Azcorra,NS,0
ASAP-000472-001-0000LS-T,Erinc Hallaci,FS,0
ASAP-000472-001-0000LS-D,Erinc Hallaci,NS,0.09
