ID,FirstAuthor,Stage,PercentCited
ASAP-000463-005-0000DA-P,Edmundo G. Vides,FS,0.57
ASAP-000463-005-0000DA-S,Edmundo G. Vides,NS,0.83
ASAP-000509-001-0000NW-G,Minee Choi,FS,0.2
ASAP-000509-001-0000NW-P,Minee Choi,NS,1
ASAP-000580-008-0000PD-G,Xinbo Wang,FS,1
ASAP-000580-008-0000PD-P,Xinbo Wang,NS,1
ASAP-020529-001-000RE-P,Jonathan Schor,FS,0
ASAP-020529-001-000RE-T,Jonathan Schor,NS,1
ASAP-020527-003-0000RL-G,Arpine Sokratian,FS,1
ASAP-020527-003-0000RL-P,Arpine Sokratian,NS,1
ASAP-000375-006-0000DS-G,Reem Abdel-Haq ,FS,0.67
ASAP-000375-006-0000DS-G.v2,Reem Abdel-Haq ,NS,0.5
ASAP-020600-001-0000RA-G,Maite Azcorra,FS,0
ASAP-020600-001-0000RA-P,Maite Azcorra,NS,0
ASAP-020527-001-0000RL-G,Zachary D Wallen,FS,1
ASAP-020527-001-0000RL-P,Zachary D Wallen,NS,1
ASAP-000472-001-0000LS-T,Erinc Hallaci,FS,0.75
ASAP-000472-001-0000LS-D,Erinc Hallaci,NS,1
ASAP-000420-004-0000AS-G,Pascale Baden,FS,0.42
ASAP-000420-004-0000AS-P,Pascale Baden,NS,1
